"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	791287	698657	685192	789492	770739	1016905	1191810	606955	678671	856417	872729	1068677	695368	852601	1156517	1580977	1009691	1063992	1049438	1340075	1076692	2000932	943683	1264060	738620	1063978	795038	1283720	1451302	1420248	1224503	1360930	925999	742262	674501	1204251	921030	1112588	803642	920755	651312	1054300	663430	1065542	528211	789798	922489	1012077
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	4871144	3747827	3799789	5015413	5648325	5942098	5473225	3508858	2350692	5891718	4445820	6583115	2932070	3593232	4114958	6284727	3779852	4123286	3318214	5033302	4143789	7552826	4297549	4904442	2747416	4568822	2469749	5073406	6032959	5744015	5914837	5979396	4602399	3914256	3466865	6855345	4307624	6079739	3991038	5081594	2924435	5636763	3982020	5532888	4036707	6475653	7261911	7288972
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	91321	45001	NA	45536	92322	NA	75163	35760	NA	76481	65319	79065	NA	45700	83804	108904	51258	73586	57298	77098	107961	103601	56096	81444	83783	91533	55810	62442	140247	NA	134915	129812	136812	100843	99890	226062	99130	137447	NA	76257	73957	109839	169891	240611	147770	161532	172599	240352
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	738820	591309	517339	805725	735851	853516	1031851	539095	331422	839256	620117	926936	292515	496707	519218	815255	411928	492795	394748	565791	537513	936831	465140	623978	389230	713409	304743	616681	933294	881581	886851	893677	841386	773307	629550	1291130	882273	1086582	603415	715810	467808	1015062	993579	1499633	901993	1490745	1868802	2100546
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	476660	411977	390697	734157	562747	713909	822167	418240	275112	661866	540275	1089568	385872	516419	425838	709489	271648	451151	240660	373730	681035	890661	541393	535274	315647	492634	199623	433306	772580	911673	504767	529421	611093	408865	439566	845614	533995	575884	297693	516863	298267	523835	449591	615676	695884	897630	1100293	1185163
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	307539	275813	212012	311776	351761	338507	385295	203424	205188	298821	268502	355877	180919	239827	296490	440609	241204	327679	287730	296139	294000	464039	281476	335228	242600	377003	208899	375948	557604	505894	454592	476088	553206	354921	413937	793294	434668	602071	441692	454075	287589	506715	549754	784203	450177	810658	923976	929525
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	276329	152529	165890	312866	258386	323817	333668	104604	105288	290933	230377	400351	121976	231874	225628	480878	176381	237970	171134	266965	278308	549971	230743	308509	168405	304190	124697	306996	484442	469243	551558	552479	433475	468492	341979	859960	429142	541773	218689	430046	242090	580840	492496	727250	388142	673363	771038	901015
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	159351	320512	301304	288990	258564	348238	61790	248581	258438	NA	303427	265754	389508	504073	409639	474269	389617	516740	99286	139757	534021	155117	550787	471438	301437	394136	352134	202291	463099	512256	562947	613059	1240300	624719	919582	1196147	407336	494347	576081	420727	478998	488077	878722	1111559	1823124	1590024	2063794	1882103
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	6898112	4751002	5552661	9039435	7185648	10677958	8368456	5176730	3100570	8418759	6248958	11234926	6106364	6749751	6051189	11213360	5648831	6583967	5301503	6972103	6252238	13017813	8014727	9203700	4459631	7362051	4171715	7764234	11642613	11304149	10601532	9469308	7883064	7743133	7125366	13710888	8462794	11142602	6328091	9394205	6946571	12000409	7781112	9823357	8586119	11549556	12658652	14126596
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	NA	NA	NA	NA	NA	NA	142999	NA	NA	100867	63888	NA	NA	NA	NA	80232	NA	NA	NA	NA	140234	173734	NA	NA	NA	91932	NA	61983	105729	185352	NA	NA	91995	NA	NA	137354	NA	103525	NA	47015	NA	NA	NA	71225	NA	177806	249872	194790
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	451443	295658	261385	578840	413810	519841	625356	213172	185579	583315	352806	838639	410678	444382	388353	645084	302103	439287	169589	320903	NA	734334	519678	604560	302673	522384	209937	450316	691744	784134	640424	555812	646299	537739	512809	1111354	496439	603073	241025	384097	386430	616022	575400	392829	884724	1304281	1231500	1248784
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	288974	357490	284214	349547	300924	394742	463334	267148	314182	381039	521375	408188	668551	685866	695471	806113	890462	735502	697813	459744	657125	809069	827006	723010	626625	638318	480068	705218	921078	556460	1028423	925555	2041045	1184361	2308075	2358330	1044771	986073	1275133	945434	1012193	832374	1399071	1831692	2284613	3164851	3426203	2548659
"1-arachidonoyl-GPA (20:4)"	50213	NA	103305	75733	60168	50365	NA	87338	54470	NA	78455	NA	297014	328629	256108	213133	160200	191345	115537	127241	301077	122108	213670	243794	164442	265132	191828	84067	215446	194730	135030	75932	67544	109049	NA	76405	NA	68432	NA	70029	65099	68231	68334	63351	63070	NA	66989	66594
"1-arachidonoyl-GPC (20:4n6)*"	763520	724311	737524	810778	564490	628605	709367	629153	814370	741119	768092	692740	1116155	1016370	889245	730449	790620	650172	876572	686693	724258	936274	798058	989699	650306	1047169	851198	940270	938387	851627	446402	439816	446286	160004	317679	388082	377141	473522	430467	376528	432204	444229	248864	382905	337229	282053	359225	393130
"1-arachidonoyl-GPE (20:4n6)*"	1532678	1503345	2106346	1782513	1476699	2376228	1473494	1914440	1981361	1842763	1172501	840932	8571170	7671175	5105489	4376659	5473974	4282125	6387164	4336045	5338681	6209680	5813238	6445276	4275262	4916915	4843760	5273136	3827437	3598499	2322483	2676940	2496346	1136679	2360646	2978147	1452440	1580010	1813004	1497231	2269326	3016333	2489785	1265258	1678695	1720406	1497187	1840103
"1-arachidonoyl-GPI (20:4)*"	NA	70799	NA	NA	77481	101830	NA	NA	NA	NA	NA	NA	NA	73868	79390	51647	66638	93889	NA	NA	86406	NA	75917	66692	188446	201508	258302	99995	214098	312782	122116	104713	183045	105177	130872	179969	249885	253888	262134	237101	285971	253254	191548	186148	344646	294876	316401	314674
"1-arachidonylglycerol (20:4)"	573566	664514	847920	523083	472669	756384	483918	428186	669713	527247	357729	952894	943616	928623	1357577	506123	480053	1464017	643057	211256	1382892	721362	872097	1171565	461659	1064724	1147869	579823	744336	1021532	270070	531358	706482	NA	383642	NA	266667	764014	583043	228406	337578	614988	239847	312685	451621	616448	346345	405349
"1-dihomo-linolenylglycerol (20:3)"	NA	197540	252489	209978	169650	199478	247174	100983	185406	430261	87351	177514	299218	218536	243673	207315	120902	220520	406570	NA	171148	284802	87822	226368	132078	113940	243602	442761	194216	306536	NA	97600	204587	228354	76323	182954	197790	100144	129256	103880	73095	195491	NA	125711	133394	304202	149076	200683
"1-docosahexaenoylglycerol (22:6)"	90742	168154	201698	144576	115851	193575	213805	90348	171192	168220	NA	NA	212553	331657	370275	148602	122692	372569	NA	NA	337097	209234	281490	399725	173844	231658	384951	165259	232996	400327	NA	107794	235787	NA	107452	254859	NA	117791	128111	NA	108252	224924	87332	132083	141180	NA	98621	168514
"1-lignoceroyl-GPC (24:0)"	NA	NA	NA	31728	22049	NA	NA	NA	NA	NA	NA	38279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67765	19572	63152	80524	72445	NA	NA	49649	35835	41254	79829	109527	136529	90444	87945	92173	109993	94683	109082	87704	173278	205884	170837
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	999583	1037587	1140805	1162112	1007780	1398977	853053	669862	822280	1077592	1089431	869224	714867	795219	914358	1106213	850949	1007699	1131568	687859	897130	1154356	758840	918733	581772	753021	476716	840437	1083262	796878	725368	736637	657920	674478	672366	610948	630582	540113	601599	524016	427529	664661	703668	734811	455131	589612	555742	452044
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*"	58450	55759	62321	58814	64266	58299	40911	22274	20922	43166	49391	46342	23230	33247	39416	74820	53367	30546	41958	66838	47599	143567	44438	52995	38706	41813	10675	73680	90269	63857	92421	51665	100737	55638	48659	102614	60144	93112	75134	68728	36459	86772	92721	117318	38240	76869	89725	67633
"1-linoleoyl-GPC (18:2)"	236699	227019	148456	187407	205261	213494	285616	198497	242075	288769	250369	200580	229819	218718	185347	207632	147440	200718	163624	135082	217223	200975	155134	215903	211299	304266	252055	231636	181427	287548	184478	172934	209260	151217	162627	227769	211651	219086	241298	220702	218363	290812	184226	268982	283339	342188	354786	364682
"1-linoleoyl-GPE (18:2)*"	NA	55560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	252252	229928	68843	86564	89245	103939	NA	NA	190869	58765	120840	120718	83216	177770	149258	65032	128035	119721	NA	52253	NA	NA	NA	97241	NA	NA	NA	NA	67102	71841	53027	NA	109445	99442	81264	88388
"1-linoleoylglycerol (18:2)"	222300	1594675	450458	1583812	773275	1278460	NA	1018509	366283	1987776	358453	1000745	NA	323110	NA	NA	NA	NA	1518609	NA	311469	2926037	2040519	248623	NA	189993	NA	NA	349682	296413	1206442	1727861	1094709	1275564	480441	NA	317124	1078341	1178223	442316	1307191	1358400	1636200	NA	2082881	1119042	428938	1719891
"1-methylhistidine"	746843	915896	926140	653242	678946	512393	1044612	990028	972014	648953	1461574	599434	1553099	1893324	1430351	2148700	961329	2224758	601818	961362	1712894	931128	1967153	1036177	1581234	864254	1171169	791683	953903	1338321	1722908	2038684	1646330	584374	1466384	1699534	1511163	1118681	1116213	1671816	1126898	912061	2923128	2091245	5289534	3588320	4458674	5400354
"1-methylimidazoleacetate"	61665	64636	150780	47272	105020	44622	138746	138597	127228	69427	117253	86199	135088	152099	61697	154595	NA	160194	88193	120004	184777	23564	199963	64300	161743	88752	143361	NA	104804	150394	112464	156288	108054	62779	123460	124940	171698	64286	75915	166795	45322	NA	178925	70303	231638	41415	134396	237608
"1-methylnicotinamide"	115058112	152112240	141948912	127946928	115635032	126655976	158499600	144133520	168887200	137791264	128456016	137167504	152277312	157537504	139450224	154320848	138967248	162247456	89914000	113677000	151671072	112168224	166783008	152453936	181305088	166072032	181003600	133685832	163752224	185612832	139592240	145391568	195669392	109911112	163818112	159270944	151830112	160332896	152910624	158410960	152536768	142984608	186364720	163960384	225284672	176367296	220026608	206592784
"1-myristoylglycerol (14:0)"	NA	522820	313913	752202	615980	413828	780239	1910865	668754	NA	407709	318136	580138	NA	810146	694802	489558	1906118	856810	413678	372437	1421549	1678486	522451	541398	NA	485162	554314	497012	605224	384518	533223	544534	1226993	474611	687692	1236658	467456	590451	664878	697435	547613	329468	825455	486254	484455	1093762	832718
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	7442983	6239278	6254093	6917554	6612088	8101222	8982739	5637422	5566863	6508946	6543719	7752423	6242886	6941467	8827586	10956123	7530610	7763599	6834643	7520160	7797308	12419671	7045949	8457481	5564495	8718110	6377362	8600699	10645324	10801772	10885571	11861356	10464128	7291184	8190924	13713904	9824359	11538445	7517885	9108804	6806940	10184198	10350441	13656460	8576311	11093394	14155306	14931358
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	600283	488355	492583	654962	737839	824155	460996	419754	303834	585644	471224	664262	424957	580990	624953	827781	553766	517120	543451	638423	582781	1031400	625633	767777	359989	648315	278470	605291	717229	789173	1071636	965245	768849	694343	567063	1046421	657257	910246	615538	727449	442206	974873	782269	1015176	617503	1113389	959662	958032
"1-oleoyl-GPC (18:1)"	2386599	2497531	2257748	2397163	2158172	2206226	2552746	2354284	2436333	2570092	2560654	2263998	2124771	2246218	2057978	2340715	2180271	1839027	1872959	1752583	1907935	2345326	1998890	2341851	2445561	2888450	2383685	2921504	3165220	2720620	1947969	2174702	3181849	1907333	3220983	3707744	2425157	2635920	2800425	2330080	2342697	2842064	3478904	3409737	4217106	5367340	5406462	4927397
"1-oleoyl-GPE (18:1)"	414791	383717	422416	466060	322928	458640	380599	347849	476360	525507	326218	320244	1332810	1248132	878364	863499	941800	699728	994003	693597	761709	973118	943624	1017764	724892	969865	883156	984246	826790	653831	536071	531608	741437	461323	800187	848475	394646	449546	438400	450650	462617	560491	709345	555699	825431	952541	971789	858972
"1-oleoyl-GPI (18:1)*"	NA	126173	148103	106914	82388	128602	116243	114661	196350	NA	182545	159782	85399	78068	72210	75948	56551	123153	NA	NA	112706	NA	125503	108030	310275	364029	391141	91093	357688	489410	175951	149749	322687	149577	225678	260227	563125	603495	473803	520771	581864	497758	449993	341023	1056069	718987	1205948	990196
"1-oleoyl-GPS (18:1)"	185011	298597	207452	187370	196615	250070	131848	269106	314521	128834	150621	284117	244472	353747	232192	222907	262097	349701	55034	NA	335270	114724	249604	352038	423919	464688	438614	298642	574272	571472	349725	355074	497550	227658	395199	503066	600432	653137	354380	474288	683409	551917	655967	540939	1018832	978805	1387094	1218047
"1-palmitoleoyl-GPC (16:1)*"	243825	258014	210972	293640	245067	351070	279693	229331	355279	297738	352423	271144	338159	322413	313587	323826	284610	231559	272285	197190	280910	287854	228488	303818	295403	368431	325718	416013	446333	388726	176493	272518	337581	202407	389813	452827	289190	328062	195903	267093	319213	284355	429275	383473	428860	468562	633913	589503
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"	12876954	16564823	15445151	15077699	17005746	19964356	20436928	11721888	13625146	17986952	16873900	16498071	10575455	12817485	16565801	19356932	11636093	13196378	17179970	18328928	11673771	23869580	12396179	18063732	12043352	20541792	11857306	19687744	22323568	19242260	15023032	15354681	15227843	10378553	10166143	19967372	12404493	14085174	15058205	12588606	10222238	13595742	13539704	16643262	8522917	14230782	15156722	15426664
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*"	529872	327102	422287	566827	531719	674636	630044	239046	275782	424546	445048	509625	279827	429700	457060	717043	421219	466279	522240	595627	509215	786777	355345	616608	251568	428353	248276	386418	616095	568903	780671	804412	584172	460898	386589	950530	390834	456999	418481	512761	274114	561139	673471	888782	482396	638575	680735	997104
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*"	199735	183096	147126	268324	167463	242186	201107	136064	148103	195117	151861	227023	NA	107005	141318	166195	86035	195208	108747	190877	177701	217040	160556	202064	140946	175247	140026	155664	211775	219980	202725	185280	115633	134825	144606	206083	218034	181478	148349	207284	136739	230355	225708	174845	163230	178009	141597	230970
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	18616732	15299517	15629047	17800226	17850008	19692794	23255150	14476019	14791186	19224588	17589020	19935192	14080171	16762776	19915888	25124760	17438138	17830812	16522103	17831412	18981354	28883174	16326756	21383420	14159451	22268824	16651546	22145956	25966672	25529832	25335768	27695110	25038090	18164814	20748568	33377758	22702596	26219740	18816716	20439866	19044532	24427136	27129092	33477288	23786212	38811904	40198768	42052848
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	444560	499125	487228	359655	438830	721451	395965	381845	173926	560060	328390	432962	415893	296682	343460	581780	458487	335951	309642	535764	513791	765426	489112	383657	245442	227287	145163	262917	488224	331109	609084	724914	385963	454089	269426	838136	244774	377598	374681	250517	229007	519538	336451	403982	473432	765489	559222	1024402
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	87720432	79385184	80727872	98218384	86890424	106451672	115171728	72240712	64042736	101569416	85384240	107592400	58315816	82156760	92473384	123030768	63345656	90698296	70716560	85852816	88331408	148586336	83544032	98239192	62652160	108047664	62783616	87311560	134601248	140457664	123012360	142675760	130378312	93474752	85474712	175737984	119055656	135585920	87797072	117292392	70479376	140324112	141847552	203014112	121324400	160146208	206536960	242926240
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	1461866	985927	1214896	1857376	1331169	2178816	1731462	922247	677221	1663620	989660	1900624	947391	1161173	1282941	1867280	878334	1103826	946042	1378893	1158416	2340982	1310949	1587311	629980	1198575	611000	1082564	1608339	1846907	1198404	1594097	1490726	1139246	1095301	2237542	938016	1319474	750778	1135611	715105	1298375	1416198	1914922	1399013	1978890	2209656	2419102
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)"	886028	553149	204589	680582	385026	694243	674610	479107	254943	646292	535527	639866	451239	702415	622744	1091401	428787	816964	379796	817062	866801	1126864	944155	841053	NA	256334	NA	289069	662738	811691	898438	1128650	982013	801198	847703	1442619	835043	675584	303696	786357	290478	854480	1362844	1496630	1108267	2000278	1850259	2223452
"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)"	521640	441628	407834	614608	416985	615340	544882	389763	396965	545156	483982	607204	237455	410040	336732	529673	232774	415427	313963	435739	411659	572627	437703	395888	296848	391163	355054	359910	510298	536902	435647	390347	406843	308264	364693	534176	374960	363179	264591	441055	285168	468871	541368	602495	478050	695509	734966	836464
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	22520402	19705012	19391268	22010028	21993360	24844264	28228124	17446992	8123483	23632650	22406608	24758566	16314327	19385238	25236370	29858512	20780232	21130494	19346048	19616648	20714472	33513516	19599710	25783764	17342408	25450490	20022220	26352638	31693548	29588504	32254832	35187952	35944392	25205680	30158470	48185976	28290514	33079120	25322634	26655888	22169748	30860160	42147408	51777808	40337924	56796636	68002976	70436272
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	1678135	1116401	1558127	2414536	1818532	2289796	2159031	624139	1203956	1980085	1584501	2814988	1739466	2603443	2686173	4358208	1563624	2439529	1653194	2516247	2951394	5285394	2829536	3280396	1108260	2278570	1160657	1993316	3259879	4371257	5426173	5496390	4491071	3634945	3288193	7076547	4277912	5281917	2229534	4562773	2338608	5713759	6090012	8229555	5719012	7493574	9229158	10327623
"1-palmitoyl-GPC (16:0)"	2578624	3278937	2765128	2911660	2242898	2873708	2896918	3209288	2897737	3515826	3031493	3014998	3258732	3515120	3422757	3387515	3485475	2885331	3217312	2823395	2780433	3274087	2752940	3728484	3789236	4827125	3915076	4327373	4017456	3698433	3317660	3350268	4705057	3048488	4825730	5425077	3113819	4011907	4161726	3498582	3412959	3960788	4824551	4919991	5982407	5436184	8818440	6423582
"1-palmitoyl-GPE (16:0)"	78581	107121	71456	91830	NA	98141	90028	67480	69117	NA	NA	89156	209125	215711	156428	158136	138449	124692	180298	123124	167109	185802	166936	214975	129384	143004	138402	198199	156840	94474	126868	162639	132136	101638	184877	206540	NA	113356	101666	87097	109865	105047	150916	182262	247875	286337	288698	285658
"1-palmitoylglycerol (16:0)"	7080343	11189999	9702781	17544684	16318146	8329550	10436466	372210112	15598654	7751534	9773994	8946382	10833059	12543452	21399892	16623413	13493089	9942982	12987887	10521191	9883740	7081457	25492156	15399820	21144288	9517135	10240141	12581957	9819175	12326936	11841559	15609178	11847555	31211454	8524033	12995247	18392118	17901188	11834784	10457562	13811505	9760028	10772399	18493956	16194391	13175452	21257050	17111804
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)"	16124646	13510197	15209332	19071632	18962444	22492026	18344904	11503913	9965141	18309098	14922472	19165082	10317030	12460049	15964191	21326524	10945957	15193541	15218892	18914720	13910204	26760008	13599710	16967812	11925007	21110824	13487121	22422958	28439484	29585834	23399708	23693916	17410204	12727482	13176455	25250832	22108078	28143024	19761856	23887640	12974170	23543458	18588308	25734772	12615774	19798196	22329522	23829164
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	4901321	3565110	3523509	6042933	4938525	6725407	5202837	3239464	2134711	5583563	4059480	6555399	4276541	5305058	4949663	7998120	4503593	4996002	4808360	6509210	5320817	8728683	5546747	7346602	3124305	5012476	2888514	5410563	7220924	7729066	9088090	8956481	6355226	5940089	4599027	9856577	5847228	6814208	4863302	6685879	4457283	8656025	7876488	8178889	6328759	9378367	8384391	10103523
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	4125282	3400516	3420031	4812937	3439931	4580624	4405936	3429528	2926728	4307325	3753092	4436100	2429720	3539434	3117720	4721986	2461710	3547788	2744223	4515095	3813699	5124199	3934842	3469259	2717115	3801456	3012751	3499054	4591484	5753469	3804890	3799698	2960834	2406985	2411723	3439980	4063842	4011678	2537783	4411838	3193188	4998357	3356048	3882601	2724056	3586368	3126867	4096959
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)"	1835679	1357368	1501175	2084700	1910420	2364901	2153346	1340528	1486565	2127731	1868301	2357373	852846	1258850	1490493	2118855	1041829	1237609	1376254	1596801	1171338	2708679	1261181	1581029	1168297	2055923	1191590	2092161	2666479	2784887	1999353	1797233	1734615	1273836	1199281	2114144	1792498	2455868	1622288	2403892	1432546	2668841	2146604	2385082	1656034	2558218	2595880	3018215
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	14416044	11534689	10529675	13651384	9312734	15250474	17836384	8591813	9131383	15489751	12277272	12538319	7925663	8956315	10857512	15770494	7989002	10060388	10928548	13009334	11857167	19439700	8336656	14680007	11326610	18094890	7862533	13319660	17292440	19500664	14394054	19670140	15918415	14070095	11791824	23636316	21823790	23870504	13933199	21702100	10199031	21436972	21573928	27330658	16321140	27005352	27774248	36534516
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	854258	670681	928425	1218163	1066275	1684025	850686	769448	443960	879446	928487	1275004	841994	1003047	812622	1397017	682752	842366	853781	846665	885294	1780942	990308	932133	433154	674927	455363	1070776	1358391	1387348	1034230	1087251	1069356	915495	740695	1846306	650474	1155473	603251	959158	703862	1416449	1202832	1416321	1003626	1203905	1302807	1674106
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	26030258	20128440	21151628	29070756	24830764	31271596	33793608	21301296	16084415	27651118	19958660	37356904	16063885	24038330	23784146	36775792	14682381	25217238	15226057	21512280	23003932	42392716	22839028	27617360	19797704	35625552	16094962	24728304	43947236	54627708	40600716	44815896	36976680	29420338	28099234	57147708	50642404	60203412	28682046	49755816	25933300	56503296	43634768	69269936	46907000	60700872	79613232	93391072
